Sho to Elb (L),Elb to Wrist (L), Sho to Hip (L),Hip to Knee (L),Knee to Ankle (L),Ankle to Heel (L), Heel to Foot (L),Sho to Elb (R),Elb to Wrist (R), Sho to Hip (R),Hip to Knee (R),Knee to Ankle (R),Ankle to Heel (R), Heel to Foot (R),Track ID
31.309,33.735,52.95,45.739,62.94,0,0,24.611,28.084,58.366,39.65,79.528,0,0,59
33.627,31.519,47.233,48.334,57.016,3.955,40.296,23.926,27.69,53.3,39.751,80.19,0,0,59
31.004,36.235,52.298,44.334,64.592,0,0,24.246,40.101,56.276,42.895,63.656,0,0,59
36.58,42.785,63.363,0,0,0,0,29.748,30.54,76.939,48.751,62.134,6.254,52.048,65
32.476,40.96,56.148,42.06,67.933,0,0,27.869,39.494,62.762,43.708,61.894,0,0,59
34.765,47.281,64.298,0,0,7.974,40.433,31.21,33.299,82.051,53.931,52.371,7.367,55.965,65
33.878,43.262,61.371,42.397,75.199,6.333,43.653,28.01,42.385,68.495,42.296,68.282,4.853,49.784,59
36.918,42.479,65.74,51.873,67.642,7.224,34.597,34.865,34.528,82.398,53.987,47.531,7.719,52.987,65
33.284,50.624,62.76,0,0,0,0,29.627,50.15,68.116,44.275,64.749,3.814,52.046,59
39.181,50.043,69.297,51.884,85.791,9.478,42.318,32.547,37.036,81.334,57.058,58.983,6.273,60.003,65
33.933,0,65.547,0,0,7.707,44.017,31.668,46.383,69.251,47.575,63.904,3.851,54.047,59
41.354,44.724,69.907,51.448,77.015,10.011,39.458,37.386,37.212,79.619,57.539,57.178,4.601,57.661,65
40.746,0,62.811,54.661,108.217,9.551,44.484,32.845,43.884,67.491,49.231,80.585,5.406,56.474,59
48.593,36.347,70.287,53.377,0,0,39.38,37.784,33.301,83.785,55.578,77.395,5.34,55.897,65
44.891,51.855,65.757,99.568,97.55,10.535,39.279,39.394,43.617,74.296,54.766,68.344,11.953,56.883,59
51.821,32.575,68.706,82.92,0,0,0,39.82,34.985,87.15,61.683,76.848,9.492,55.459,65
45.429,51.515,66.76,106.375,84.833,8.622,39.19,42.893,42.798,78.009,55.306,65.61,10.36,53.235,59
53.019,38.69,72.688,61.251,88.025,11.032,42.318,41.835,34.726,88.999,58.532,74.685,9.693,57.321,65
0,0,71.179,103.042,59.006,12.725,57.198,44.459,31.331,84.5,57.442,89.85,0,0,59
53.982,51.506,76.013,71.127,81.426,11.325,56.615,44.972,39.372,103.292,63.241,83.691,12.16,66.647,65
52.923,41.659,74.109,57.645,62.809,13.399,45.915,47.815,38.061,89.576,59.245,67.547,9.333,59.687,59
0,0,82.556,65.064,89.203,10.286,61.509,45.784,40.847,119.194,61.305,106.668,0,0,65
60.431,39.977,83.083,74.136,64.199,13.678,56.247,48.972,37.553,103.236,63.39,92.217,0,0,59
58.092,45.191,83.946,65.281,63.243,11.871,57.105,52.116,39.077,104.682,70.634,97.603,10.526,57.6,59
64.6,51.392,90.68,147.661,79.106,10.705,66.461,55.012,42.606,113.433,69.909,177.405,0,0,59
70.823,50.196,100.881,101.168,93.994,15.009,57.03,64.883,48.931,112.91,81.02,170.771,19.665,44.862,59
0,0,102.73,104.91,91.089,17.746,59.351,69.266,52.323,115.089,92.61,143.897,17.388,54.205,59
72.627,74.955,109.388,97.681,119.913,16.025,66.852,65.714,56.829,146.382,99.993,129.042,15.839,70.664,65
0,0,97.065,0,0,0,0,56.506,0,146.402,63.656,109.58,17.964,66.535,65
50.837,0,76.332,65.393,68.424,12.154,18.89,53.774,0,80.085,66.033,68.732,12.159,24.231,556
48.103,0,79.975,65.681,73.733,11.321,14.781,55.979,0,81.653,82.609,69.721,14.107,0,556
0,0,74.346,0,0,20.656,34.133,37.113,31.87,87.679,62,58.426,13.307,44.071,556
38.183,0,67.643,52.372,44.786,6.19,18.281,37.881,0,69.202,49.93,49.785,6.767,26.619,556
0,0,75.743,78.121,73.002,7.496,46.059,0,0,69.092,55.816,67.426,0,0,556
77.085,114.73,100.787,54.371,141.031,0,0,38.204,64.6,91.3,49.891,158.263,14.028,54.295,809
80.581,123.583,106.491,50.991,125.321,8.42,73.825,48.027,53.781,93.167,50.739,129.673,10.461,68.198,809
72.226,100.205,89.508,54.606,89.185,7.986,65.247,47.834,52.004,87.981,68.582,85.219,9.386,72.129,809
86.273,112.511,97.53,61.215,112.26,9.81,66.422,45.656,62.694,89.672,74.28,83.364,9.382,78.782,809
91.355,126.203,109.004,85.261,138.017,0,0,48.009,65.575,91.778,90.154,79.122,12.245,85.879,809
78.044,94.582,85.896,59.369,122.445,0,0,50.529,46.597,85.307,69.186,83.722,11.236,58.596,809
28.415,21.496,45.303,27.001,64.253,5.481,25.373,22.828,22.645,49.714,27.355,56.292,4.905,29.78,917
23.871,29.081,52.984,27.763,71.098,5.757,30.85,23.403,30.457,56.301,37.075,68.723,5.719,34.575,917
16.645,6.431,30.513,24.777,23.149,3.323,16.512,0,0,33.002,25.666,23.177,4.26,16.572,930
21.818,39.884,52.937,0,0,0,0,22.241,29.354,50.156,31.916,60.021,5.509,38.781,917
20.415,0,51.068,66.201,56.84,5.406,37.477,21.951,28.054,49.765,56.512,50.54,0,0,930
21.701,29.927,53.202,34.573,64.855,0,0,0,0,43.478,40.682,49.582,0,0,930
26.483,28.814,54.603,34.845,44.935,3.662,38.919,25.693,24.632,60.903,34.195,60.114,5.272,34.486,930
25.675,25.31,60.254,40.41,46.864,0,0,24.795,25.244,70.299,34.828,64.252,0,0,930
27.417,23.314,54.016,73.059,39.598,0,0,25.773,22.598,56.522,36.887,77.155,0,0,930
31.08,28.338,64.438,50.246,63.963,0,0,28.73,26.829,65.706,37.878,90.953,0,0,930
32.896,0,66.611,45.143,78.563,0,0,35.199,35.271,67.305,43.711,83.076,0,0,917
36.098,32.349,75.283,49.119,52.942,0,0,34.838,32.178,71.13,65.879,57.415,0,0,930
31.485,29.983,61.919,60.287,42.382,0,0,31.721,30.319,58.386,66.848,43.968,0,0,930
0,0,98.597,101.142,157.344,14.87,60.064,46.584,49.99,104.469,59.49,134.969,0,0,917
0,0,87.706,55.892,0,0,0,48.088,49.038,108.583,59.796,121.235,0,0,917
45.501,47.964,90.096,75.478,69.403,0,0,51.996,45.284,85.937,0,0,0,0,930
50.672,53.235,115.195,84.099,79.557,0,0,63.5,0,99.098,0,0,0,0,930
17.622,0,41.334,25.28,31.836,3.669,9.841,19.796,0,43.808,0,0,3.509,0,985
17.831,0,27.074,20.832,28.74,0,0,14.85,11.857,25.609,20.642,26.515,2.86,11.694,877
16.632,18.368,37.381,23.791,50.224,3.842,25.122,17.415,0,39.926,23.314,53.447,0,0,960
19.666,31.861,49.564,29.298,56.334,4.394,29.901,22.401,23.411,49.121,29.084,58.502,6.299,28.33,994
0,0,118.011,94.198,105.857,20.442,30.831,0,0,124.581,99.336,112.836,18.389,50.845,1060
0,0,111.828,0,0,0,0,0,0,113.497,0,0,0,0,1060
16.798,19.028,29.774,27.898,32.369,0,0,0,0,32.027,26.759,27.063,0,0,960
20.922,29.825,49.857,32.074,55.17,4.042,28.356,21.141,27.984,46.844,29.551,49.751,3.872,30.106,994
21.033,32.518,55.022,28.257,53.71,3.509,33.895,22.679,30.521,53.32,29.326,50.464,3.877,32.206,994
0,0,126.754,114.3,102.569,13.575,28.792,0,0,124.727,82.114,89.785,15.583,55.373,1060
0,0,123.439,152.165,138.327,15.375,32.782,0,0,134.661,83.063,97.598,12.688,63.162,1060
20.045,34.841,45.399,36.62,51.442,0,0,19.218,50.349,45.619,0,0,0,0,994
21.938,25.779,45.88,32.113,53.922,0,0,0,0,40.936,30.935,45.853,0,0,994
0,0,119.941,90.45,89.926,20.65,41.941,0,0,124.096,103.965,102.447,19.605,42.682,1060
22.867,29.614,48.879,34.76,0,0,0,0,0,43.76,0,0,0,0,994
0,0,115.992,90.563,94.018,18.162,34.694,77.761,0,122.406,108.527,104.204,19.749,37.497,1060
0,0,111.269,0,0,23.151,45.689,73.918,0,122.637,94.135,88.523,14.07,49.224,1060
0,0,110.522,0,0,0,0,71.047,0,125.376,95.378,96.682,14.742,49.344,1060
0,0,103.86,111.211,106.217,9.992,17.805,62.13,89.169,124.447,87.515,91.33,17.721,46.069,1060
0,0,106.025,107.667,96.576,6.431,24.644,80.141,0,117.774,95.59,103.011,26.047,49.659,1060
39.254,34.579,112.139,63.171,61.081,0,0,43.108,0,92.737,0,0,0,0,994
41.191,38.109,102.396,80.246,66.953,7.188,54.74,42.251,0,88.036,54.344,71.435,7.904,44.716,994
0,0,115.85,93.649,92.416,17.339,30.569,90.631,0,128.126,109.649,103.724,18.8,35.998,1060
63.433,0,115.644,55.979,102.053,0,0,62.239,0,111.92,56.351,105.872,13.519,0,1078
0,0,114.012,90.084,91.6,16.091,22.776,0,0,121.14,118.679,100.496,18.402,28.898,1060
55.778,0,88.143,93.931,92.93,9.616,49.663,48.81,0,88.682,59.505,84.718,12.383,60.422,1078
51.736,50.29,145.313,92.844,80.821,10.504,66.585,55.762,63.762,123.048,60.357,122.562,13.279,45.772,994
52.871,64.679,169.276,145.039,114.541,13.02,84.851,60.489,74.519,142.02,70.534,164.934,17.078,59.15,994
79.474,84.39,210.65,127.311,0,0,0,0,0,143.145,190.433,0,0,0,994
0,0,106.534,87.334,83.794,12.247,0,0,0,106.824,0,0,0,0,1282
61.988,0,106.187,90.825,88.171,13.63,0,0,0,108.447,0,0,0,0,1282
60.862,0,105.652,87.757,82.317,13.673,11.295,0,0,111.171,0,0,0,0,1282
0,0,103.848,84.979,88.964,8.469,0,0,0,103.964,82.003,87.542,0,0,1282
28.345,23.041,47.033,35.661,42.589,0,0,27.836,27.217,48.911,35.977,42.827,4.345,36.353,960
21.088,25.301,42.963,37.406,52.298,0,0,23,0,42.817,30.043,0,0,0,960
0,0,111.302,87.438,88.655,14.11,21.032,0,0,119.814,87.54,90.165,14.148,0,1282
0,0,105.437,94.558,88.966,18.32,25.771,0,0,112.315,93.597,95.168,12.103,0,1282
0,0,105.222,101.045,98.981,16.478,0,0,0,117.636,88.929,97.741,9.594,0,1282
0,0,101.424,88.828,74.258,19.264,20.714,80.548,0,108.661,86.187,79.514,9.331,0,1282
37.605,51.586,41.471,30.796,43.009,4.338,37.901,27.078,0,44.118,34.133,56.955,4.321,33.815,1178
32.88,58.79,45.753,31.439,57.402,4.597,39.067,25.822,64.688,49.076,31.104,66.072,5.208,35.375,1178
40.398,67.887,44.824,46.463,46.036,3.893,43.141,22.203,50.884,51.941,33.397,74.355,6.765,33.961,1178
38.735,63.223,51.372,39.933,59.419,3.974,40.203,22.652,37.134,54.504,32.17,96.646,8.526,30.405,1178
50.622,67.542,54.644,35.697,56.467,4.367,37.735,25.271,33.109,52.709,33.475,79.741,7.173,29.091,1178
48.371,0,66.101,38.57,73.494,0,0,26.228,43.168,67.397,37.675,74.035,6.727,43.998,1178
91.197,46.514,98.477,102.418,181.872,0,0,74.767,88.248,101.65,81.587,117.26,10.3,59.838,960
0,0,108.662,105.047,94.147,15.825,0,0,0,123.533,94.932,95.414,13.329,0,1282
66.719,41.654,108.32,91.387,91.257,0,0,79.165,88.746,112.935,75.735,89.397,0,0,960
0,0,138.066,114.239,115.456,13.059,0,0,0,126.255,97.511,103.033,14.546,0,1282
69.229,113.199,73.327,64.641,66.847,7.113,68.697,35.733,90.489,75.917,66.232,106.373,9.186,53.42,1178
87.455,132.741,109.045,80.729,139.436,10.036,80.807,0,0,106.289,63.286,181.066,17.847,59.069,1178
84.207,128.019,99.986,76.634,116.413,10.109,73.782,58.97,64.363,91.111,85.525,159.245,14.545,56.143,1178
100.509,112.808,128.157,75.175,92.194,9.077,84.531,0,0,110.329,0,0,0,0,1178
0,0,91.769,67.028,80.69,0,0,0,0,90.713,0,0,0,0,1282
47.994,90.675,66.825,52.735,112.092,9.523,47.762,65.951,47.476,88.555,51.726,71.572,4.754,60.096,1351
15.644,17.562,31.906,21.997,28.05,0,0,15.088,13.661,34.677,21.088,27.236,0,0,1441
53.778,0,79.959,70.193,63.248,7.766,14.028,0,0,91.975,69.344,62.095,8.464,0,1513
69.902,0,89.33,64.797,71.171,5.059,30.055,0,0,88.593,0,0,0,0,1513
68.25,0,83.332,65.475,77.075,12.97,39.047,0,0,85.563,66.864,70.383,9.952,19.702,1513
0,0,85.362,62.836,65.496,11.86,25.522,0,0,88.259,0,0,0,0,1513
0,0,79.933,61.304,60.615,2.939,15.284,0,0,83.55,63.827,59.101,3.973,0,1513
0,0,77.755,63.367,60.531,4.917,0,0,0,82.709,59.454,59.888,0,0,1513
18.314,16.748,32.882,23.368,27.248,2.465,13.579,16.494,11.964,32.52,23.306,26.222,2.827,12.001,1581
17.812,22.559,33.639,26.877,23.821,3.763,5.781,0,0,31.145,0,0,3.847,8.19,1581
19.915,0,33.482,25.741,23.079,3.926,3.727,19.213,0,30.491,26.393,23.583,3.597,4.589,1581
0,0,80.977,62.094,60.377,11.956,25.664,0,0,80.621,0,0,0,0,1513
42.411,46.291,87.666,65.054,61.863,8.427,19.293,0,0,86.132,64.397,62.21,7.946,26.618,1513
51.494,0,84.615,65.926,57.115,11.177,18.363,0,0,81.818,66.707,56.394,13.99,16.687,1513
46.397,0,82.182,67.784,61.022,4.213,17.637,56.796,0,82.468,67.031,64.61,3.278,22.475,1513
0,0,85.398,62.802,67.34,8.675,16.609,0,0,82.242,0,0,0,0,1513
0,0,87.581,65.492,67.216,8.612,36.761,0,0,82.915,63.219,74.365,0,0,1513
0,0,86.838,67.275,64.895,6.551,15.969,0,0,88.075,65.713,63.781,11.646,24.196,1513
16.363,14.625,28.475,23.091,28.324,3.435,11.119,18.136,11.046,30.399,24.155,27.367,3.49,0,1581
50.767,0,76.044,57.298,59.268,9.285,0,49.87,0,75.606,58.994,0,0,0,1513
54.304,0,80.881,68.406,69.937,7.52,11.826,61.042,0,81.718,64.974,71.845,6.605,17.342,1513
0,0,71.928,61.186,70.948,7.582,0,0,0,74.514,0,0,0,0,1513
0,0,74.924,59.317,0,0,0,0,0,74.428,0,0,0,0,1513
0,0,86.462,66.282,63.34,5.971,0,45.646,0,86.592,66.154,67.138,4.114,0,1513
0,0,77.139,65.89,59.297,11.363,10.523,0,0,78.837,62.166,68.819,5.437,0,1513
3.557,3.048,7.663,4.378,5.947,0.802,3.075,0,0,6.969,0,0,0,0,1566
11.673,14.299,22.775,24.087,24.88,0,0,10.672,6.287,26.065,26.341,27.104,0,0,1178
12.51,11.007,26.812,25.178,24.563,2.642,8.426,12.673,10.017,28.924,20.846,19.945,2.329,9.107,1178
13.118,13.956,17.813,27.261,25.831,3.165,11.324,12.294,8.829,19.358,25.006,22.22,2.411,13.054,1178
0,0,77.398,65.435,70.716,6.277,10.715,0,0,78.053,63.661,69.069,8.825,0,1513
0,0,80.949,63.956,68.86,6.182,0,0,0,82.14,0,0,10.551,0,1513
42.315,0,81.999,65.678,66.903,8.453,0,0,0,84.897,65.176,0,0,0,1513
57.182,61.399,123.526,89.61,86.576,17.515,55.659,0,0,114.645,0,0,0,0,1672
0,0,75.894,0,0,0,0,0,0,74.82,0,0,0,0,1513
0,0,68.109,58.083,53.612,7.713,0,0,0,70.091,0,0,0,0,1513
16.181,0,27.451,39.398,49.852,5.096,0,16.047,19.939,30.397,38.139,44.788,4.173,16.684,1178
53.982,0,76.328,63.599,66.32,6.615,5.655,0,0,78.425,62.721,64.908,5.599,0,1513
22.006,0,38.183,27.138,26.171,5.091,6.84,0,0,36.28,27.54,25.644,3.999,0,948
21.022,26.149,38.854,72.702,50.333,4.822,28.849,18.398,21.631,42.513,43.023,53.276,5.119,28.129,1178
52,0,74.052,53.997,53.252,8.516,0,0,0,72.853,55.23,0,0,0,1513
17.032,0,24.422,45.902,35.931,2.78,26.441,0,0,26.589,46.766,41.585,3.787,23.704,1178
0,0,74.479,60.752,57.809,10.006,8.887,0,0,78.104,60.454,59.164,2.906,0,1513
0,0,38.905,26.682,24.278,4.638,6.801,15.077,0,39.353,25.385,24.01,3.838,0,948
53.549,0,70.374,57.35,56.505,7.667,9.847,49.481,0,73.7,57.12,53.951,8.66,0,1513
20.054,0,40.015,29.32,26.691,4.418,4.332,0,0,39.272,27.934,26.575,4.249,7.448,1581
23.931,22.103,57.728,32.25,0,0,0,23.594,27.735,65.594,0,0,0,0,1178
44.335,0,73.486,69.543,67.39,11.358,6.187,0,0,76.396,68.093,70.555,5.822,0,1513
29.027,26.455,52.119,33.393,66.423,0,0,25.525,27.887,60.18,34.918,0,0,0,1178
27.001,31.26,59.495,37.62,61.428,0,0,27.473,31.001,66.485,32.186,0,0,0,1178
42.487,0,76.096,61.862,70.344,6.539,13.241,0,0,78.333,60.399,66.869,9.847,19.786,1513
29.855,26.396,55.666,52.891,73.583,5.587,36.545,29.267,27.83,62.25,48.125,92.408,10.27,24.873,1178
47.572,0,79.162,64.808,61.864,3.833,12.756,60.395,0,77.767,60.046,61.524,0,0,1513
30.479,44.913,63.134,76.08,78.232,5.597,52.532,29.352,39.555,68.685,49.487,98.019,8.65,42.156,1178
48.521,0,79.23,63.383,63.064,6.105,12.516,0,0,81.285,60.822,0,0,0,1513
32.817,49.687,67.757,58.962,102.054,7.796,50.653,31.936,48.786,71.455,75.565,103.371,8.379,50.579,1178
50.855,0,76.263,63.13,62.458,3.954,0,0,0,79.032,0,0,0,0,1513
38.683,31.808,66.666,55.435,102.2,8.868,48.5,33.853,37.036,72.737,51.008,93.913,7.616,51.005,1178
38.41,44.152,79.113,48.194,96.731,6.833,53.917,36.741,44.829,81.388,48.294,84.613,6.624,59.15,1178
33.165,56.52,84.907,50.743,94.916,7.925,52.574,38.996,43.578,80.904,48.124,84.789,6.745,58.679,1178
0,0,72.18,57.087,0,0,0,28.155,0,77.591,0,0,0,0,1513
20.197,24.025,45.4,28.712,41.831,3.165,31.621,23.501,20.266,41.506,30.987,42.067,0,0,1566
38.394,43.621,80.715,48.754,97.141,7.129,42.447,40.765,42.806,79.518,55.723,66.656,5.71,53.98,1178
37.194,40.136,80.394,43.524,99.553,0,0,39.383,41.166,78.408,65.917,72.364,8.401,51.537,1178
47.404,48.685,111.015,61.118,114.527,7.495,54.893,50.744,49.955,106.884,60.402,76.738,6.176,64.631,1178
19.733,27.809,44.073,51.237,45.522,0,0,22.002,24.502,44.779,51.625,43.394,4.209,26.967,1663
44.619,39.982,90.707,59.035,70.803,0,0,44.905,40.764,95.77,62.201,66.295,10.807,48.19,1178
49.646,45.785,105.645,64.027,82.181,8.35,62.536,46.419,0,111.821,63.968,77.991,9.548,54.966,1178
28.54,24.626,53.421,55.147,57.046,0,0,23.788,25.001,57.159,46.888,53.711,3.692,32.528,1672
30.025,46.118,58.753,40.839,84.372,5.785,46.961,25.161,45.341,57.554,39.394,97.089,7.725,40.893,1663
30.631,27.576,55.681,48.551,70.727,0,0,24.576,26.034,57.314,46.839,75.279,0,0,1672
27.012,0,70.136,47.466,93.523,6.213,53.178,30.605,38.486,69.129,51.379,92.679,0,0,1663
82.988,87.842,138.089,109.612,114.024,14.844,0,66.73,0,136.332,105.734,0,0,0,1689
33.487,44.803,77.749,46.254,80.241,5.854,53.986,32.805,41.123,73.986,48.095,76.838,0,0,1663
36.684,43.09,80.375,45.839,90.194,6.564,51.502,34.826,38.743,80.329,45.659,82.534,0,0,1672
84.549,86.752,141.562,104.288,110.042,20.198,0,63.847,0,138.896,106.547,102.751,19.028,0,1689
32.257,53.745,74.091,44.843,97.053,6.557,53.406,33.207,48.521,70.555,44.984,82.484,0,0,1672
74.998,73.778,127.871,103.698,99.823,15.626,36.146,65.096,0,127.821,102.523,106.677,17.675,0,1689
29.465,53.029,65.352,78.559,73.079,5.688,52.422,32.386,52.637,60.987,77.211,68.368,0,0,1672
72.781,81.932,120.874,101.577,110.652,8.823,42.782,60.16,0,116.672,103.163,105.635,11.443,0,1703
41.951,46.099,85.783,52.035,128.915,9.847,53.538,41.424,45.585,81.215,52.984,108.108,8.971,58.29,1663
71.639,75.156,122.277,102.173,117.416,20.553,44.512,65.838,60.228,121.774,0,0,10.494,0,1703
42.659,53.546,83.193,58.848,104.094,0,0,38.927,52.933,81.843,55.445,97.094,0,0,1663
66.2,69.171,117.767,105.238,115.186,18.561,35.854,65.716,67.855,122.625,0,0,0,0,1689
64.254,73.344,113.026,106.289,113.939,0,0,66.834,75.154,115.341,0,0,0,0,1703
43.578,47.067,86.983,61.401,94.564,0,0,36.157,0,85.923,58.199,89.804,0,0,1672
61.944,75.187,104.89,100.019,0,0,0,63.691,76.389,104.852,0,0,0,0,1689
49.912,54.114,107.211,65.811,128.51,9.563,66.77,0,0,99.459,63.331,132.865,0,0,1672
58.671,66.631,107.725,92.204,0,0,0,61.852,75.403,111.438,0,0,0,0,1689
48.69,74.475,97.21,74.831,127.144,0,0,52.708,111.839,99.123,69.576,127.14,0,0,1672
61.941,69.582,116.772,96.138,109.334,11.456,13.652,59.155,73.387,116.529,0,0,0,0,1689
52.819,80.694,106.575,80.174,137.14,9.573,74.525,58.631,118.112,105.752,72.684,174.255,0,0,1672
62.523,60.934,114.095,80.53,81.279,8.456,24.668,58.508,77.397,109.409,78.683,79.6,10.49,30.771,1689
54.423,80.53,111.618,81.631,137.32,10.903,69.591,47.479,84.503,108.913,79.147,194.699,0,0,1663
55.654,71.162,113.175,83.488,136.369,11.059,63.514,49.471,91.64,109.546,77.961,193.024,0,0,1672
63.152,67.37,120.193,86.195,75.234,7.405,27.15,60.715,88.476,107.87,92.437,76.571,12.944,29.875,1689
60.447,80.267,126.214,97.425,167.515,12.664,80.527,64.089,69.337,119.883,91.799,194.883,0,0,1663
60.309,83.908,127.937,92.397,211.168,16.923,78.328,63.383,78.793,122.825,94.087,201.18,18.151,72.148,1672
67.696,68.508,111.484,93.121,96.111,13.303,19.013,55.679,0,109.741,96.425,100.879,10.807,30.173,1689
65.426,85.796,128.634,95.867,182.209,0,0,65.694,103.661,122.69,162.06,135.583,12.294,102.125,1672
